r1,r2,a1,b1,a2,b2,a3,b3,a4,b4,ratio
143,2450,6,5,13,15,11,14,1,14,0.05836734693877551
1183,20250,13,15,13,10,7,9,1,15,0.05841975308641975
9,154,9,11,1,14,0,0,0,0,0.05844155844155844
484,8281,11,13,8,7,11,13,1,14,0.05844704745803647
275,4704,5,6,5,4,11,14,1,14,0.0584608843537415
308,5265,14,13,11,12,8,9,1,15,0.058499525166191835
117,2000,9,10,13,10,7,10,1,14,0.0585
900,15379,15,13,10,13,12,13,1,14,0.05852136029650822
128,2187,8,9,10,9,8,9,1,15,0.05852766346593507
338,5775,13,15,13,10,8,11,1,14,0.058528138528138526
1125,19208,15,14,15,14,5,7,1,14,0.058569346105789254
99,1690,14,13,11,10,9,13,1,14,0.058579881656804736
15,256,7,8,5,4,3,4,1,14,0.05859375
78,1331,13,11,10,11,9,11,1,15,0.058602554470323066
16,273,8,9,12,13,1,14,0,0,0.05860805860805861
325,5544,13,12,5,6,10,11,1,14,0.058621933621933624
1287,21952,9,8,13,14,11,14,1,14,0.058627915451895045
343,5850,14,15,7,8,14,13,1,15,0.058632478632478634
784,13365,8,9,14,11,7,9,1,15,0.058660680882903105
22,375,6,5,11,15,1,15,0,0,0.058666666666666666
169,2880,13,12,3,4,13,12,1,15,0.058680555555555555
1331,22680,11,12,11,9,11,15,1,14,0.05868606701940035
486,8281,12,13,9,7,9,13,1,14,0.058688564183069676
832,14175,8,9,8,7,13,15,1,15,0.05869488536155203
42,715,14,13,9,11,1,15,0,0,0.05874125874125874
55,936,5,6,5,4,11,13,1,15,0.05876068376068376
64,1089,10,11,12,11,8,9,1,15,0.05876951331496786
72,1225,4,5,8,7,9,10,1,14,0.05877551020408163
100,1701,8,9,10,9,5,6,1,14,0.058788947677836566
507,8624,13,14,13,11,3,4,1,14,0.05878942486085343
121,2058,8,7,11,14,11,12,1,14,0.05879494655004859
847,14400,11,10,11,12,7,8,1,15,0.058819444444444445
728,12375,14,15,12,11,13,15,1,15,0.05882828282828283
143,2430,13,15,11,9,5,6,1,15,0.0588477366255144
648,11011,12,13,12,11,9,11,1,14,0.05885024066842249
75,1274,15,14,10,13,1,14,0,0,0.05886970172684458
49,832,14,13,7,8,7,8,1,14,0.05889423076923077
448,7605,8,9,12,13,14,13,1,15,0.0589086127547666
81,1375,9,10,12,11,9,10,1,15,0.05890909090909091
35,594,5,6,14,11,5,6,1,15,0.058922558922558925
33,560,9,8,11,15,1,14,0,0,0.05892857142857143
26,441,8,9,13,14,1,14,0,0,0.05895691609977324
637,10800,14,15,7,8,13,12,1,15,0.05898148148148148
135,2288,15,13,9,11,7,8,1,14,0.059003496503496504
1815,30758,15,13,11,13,11,13,1,14,0.059009038298979126
1859,31500,13,15,13,10,11,15,1,14,0.059015873015873015
50,847,10,11,10,11,1,14,0,0,0.0590318772136954
81,1372,9,10,9,7,5,7,1,14,0.05903790087463557
189,3200,9,8,9,10,7,8,1,15,0.0590625
96,1625,12,13,6,5,4,5,1,15,0.059076923076923075
13,220,13,11,7,10,1,14,0,0,0.05909090909090909
242,4095,6,7,11,9,11,13,1,15,0.059096459096459095
715,12096,13,12,5,6,11,12,1,14,0.05911044973544974
1078,18225,14,15,11,9,7,9,1,15,0.059149519890260634
1331,22500,11,10,11,15,11,10,1,15,0.05915555555555556
10,169,14,13,10,13,1,14,0,0,0.05917159763313609
729,12320,9,8,9,10,9,11,1,14,0.059172077922077924
2197,37125,13,11,13,15,13,15,1,15,0.05917845117845118
351,5929,13,14,12,11,9,11,1,14,0.05920053972002024
264,4459,8,7,11,14,12,13,1,14,0.05920610002242655
325,5488,15,14,5,6,13,14,1,14,0.0592201166180758
77,1300,9,8,11,13,14,15,1,15,0.05923076923076923
91,1536,13,12,7,8,7,8,1,14,0.059244791666666664
8,135,8,9,1,15,0,0,0,0,0.05925925925925926
1001,16875,14,15,11,10,13,15,1,15,0.05931851851851852
280,4719,10,11,14,11,10,13,1,15,0.059334604789150244
27,455,9,10,12,13,1,14,0,0,0.05934065934065934
605,10192,15,14,11,13,11,12,1,14,0.05936028257456829
32,539,8,7,8,11,1,14,0,0,0.059369202226345084
49,825,14,15,7,8,12,11,1,15,0.059393939393939395
297,5000,9,10,11,10,9,10,1,15,0.0594
77,1296,5,6,11,9,7,8,1,15,0.05941358024691358
52,875,6,5,13,15,6,7,1,15,0.05942857142857143
1573,26460,13,15,11,9,11,14,1,14,0.05944822373393802
392,6591,14,13,10,13,14,13,1,15,0.05947504172356243
99,1664,9,8,11,13,7,8,1,14,0.059495192307692304
36,605,9,11,12,11,1,15,0,0,0.05950413223140496
352,5915,12,13,8,7,11,13,1,15,0.059509721048182584
5,84,5,6,1,14,0,0,0,0,0.05952380952380952
343,5760,7,6,7,8,7,8,1,15,0.05954861111111111
143,2401,8,7,11,14,13,14,1,14,0.059558517284464804
1568,26325,14,13,14,15,8,9,1,15,0.05956315289648623
143,2400,9,8,11,15,13,12,1,15,0.059583333333333335
169,2835,8,9,13,14,13,12,1,15,0.05961199294532628
225,3773,15,14,12,11,5,7,1,14,0.05963424330771269
252,4225,9,10,12,13,14,13,1,15,0.059644970414201186
21,352,9,11,7,6,7,8,1,14,0.05965909090909091
121,2028,15,13,11,12,11,13,1,15,0.059664694280078895
128,2145,8,9,12,13,12,11,1,15,0.059673659673659674
65,1089,13,11,7,9,10,11,1,14,0.05968778696051423
440,7371,8,9,10,9,11,13,1,14,0.05969339302672636
117,1960,9,10,13,14,1,14,0,0,0.05969387755102041
112,1875,14,15,6,5,4,5,1,15,0.05973333333333333
1183,19800,13,11,7,10,13,12,1,15,0.05974747474747475
121,2025,11,12,11,9,4,5,1,15,0.05975308641975308
405,6776,9,11,15,11,3,4,1,14,0.059769775678866585
495,8281,15,14,11,13,12,13,1,14,0.05977538944571911
7,117,14,13,5,6,1,15,0,0,0.05982905982905983
1089,18200,11,13,11,10,9,10,1,14,0.059835164835164836
160,2673,8,9,10,9,10,11,1,15,0.05985783763561541
507,8470,13,11,13,15,9,11,1,14,0.05985832349468713
44,735,8,7,11,14,1,15,0,0,0.05986394557823129
845,14112,13,12,5,6,13,14,1,14,0.0598781179138322
539,9000,14,15,11,10,7,8,1,15,0.05988888888888889
364,6075,8,9,14,15,13,12,1,15,0.05991769547325103
60,1001,12,13,10,11,1,14,0,0,0.059940059940059943
144,2401,6,7,8,7,6,7,1,14,0.059975010412328195
196,3267,10,11,14,11,7,9,1,15,0.05999387817569636
3,50,9,10,1,15,0,0,0,0,0.06
121,2016,11,12,11,12,1,14,0,0,0.06001984126984127
208,3465,8,9,13,11,4,5,1,14,0.06002886002886003
132,2197,15,13,11,13,12,13,1,15,0.06008192990441511
338,5625,13,15,13,10,4,5,1,15,0.060088888888888886
25,416,15,13,5,6,7,8,1,14,0.06009615384615385
80,1331,10,11,12,11,10,11,1,15,0.06010518407212622
162,2695,9,10,9,7,8,11,1,14,0.060111317254174394
125,2079,5,6,10,9,10,11,1,14,0.06012506012506012
165,2744,15,14,11,14,1,14,0,0,0.06013119533527697
1372,22815,14,13,7,9,14,13,1,15,0.060135875520490906
77,1280,9,8,7,8,11,12,1,15,0.06015625
182,3025,9,11,14,11,13,15,1,15,0.060165289256198344
176,2925,8,9,12,13,11,10,1,15,0.06017094017094017
13,216,13,12,7,9,1,14,0,0,0.06018518518518518
512,8505,8,9,8,7,8,9,1,15,0.060199882422104646
112,1859,14,13,14,13,8,11,1,14,0.06024744486282948
27,448,9,8,3,4,1,14,0,0,0.060267857142857144
192,3185,4,5,8,7,12,13,1,14,0.06028257456828885
65,1078,13,14,10,11,1,14,0,0,0.06029684601113173
98,1625,14,13,14,15,9,10,1,15,0.060307692307692305
637,10560,13,11,7,8,7,8,1,15,0.0603219696969697
847,14040,11,12,11,12,14,13,1,15,0.060327635327635326
448,7425,14,15,12,11,8,9,1,15,0.060336700336700334
44,729,8,9,10,9,11,12,1,15,0.06035665294924554
169,2800,13,15,13,10,3,4,1,14,0.06035714285714286
216,3575,9,10,12,13,12,11,1,15,0.06041958041958042
117,1936,13,11,7,8,9,11,1,14,0.06043388429752066
11,182,11,13,1,14,0,0,0,0,0.06043956043956044
256,4235,8,7,8,11,12,11,1,15,0.06044864226682409
80,1323,8,7,5,7,10,9,1,15,0.06046863189720333
49,810,7,6,7,9,1,15,0,0,0.06049382716049383
121,2000,9,8,11,15,11,10,1,15,0.0605
286,4725,13,15,11,9,4,5,1,14,0.06052910052910053
270,4459,15,14,6,7,12,13,1,14,0.06055169320475443
63,1040,14,13,7,8,9,10,1,14,0.06057692307692308
2,33,10,11,1,15,0,0,0,0,0.06060606060606061
297,4900,9,10,9,7,11,15,1,14,0.06061224489795918
275,4536,5,6,10,9,11,12,1,14,0.060626102292768956
104,1715,6,7,8,7,13,14,1,15,0.060641399416909623
91,1500,9,8,14,15,13,15,1,15,0.06066666666666667
1573,25920,11,12,11,12,13,12,1,15,0.06068672839506173
243,4004,15,13,9,11,9,10,1,14,0.06068931068931069
1352,22275,8,9,13,11,13,15,1,15,0.06069584736251403
360,5929,15,14,12,11,8,11,1,14,0.060718502276943837
125,2058,15,14,10,9,5,7,1,14,0.060738581146744415
147,2420,9,11,14,11,7,8,1,15,0.06074380165289256
154,2535,14,13,11,13,1,15,0,0,0.060749506903353054
243,4000,9,8,9,10,9,10,1,15,0.06075
35,576,5,6,5,4,7,8,1,15,0.06076388888888889
64,1053,14,13,8,9,8,9,1,14,0.060778727445394115
117,1925,9,10,12,11,13,14,1,15,0.06077922077922078
143,2352,13,12,11,14,1,14,0,0,0.060799319727891155
616,10125,14,15,11,10,8,9,1,15,0.06083950617283951
1183,19440,13,12,7,9,13,12,1,15,0.060853909465020575
81,1331,9,11,15,11,9,11,1,15,0.0608564988730278
72,1183,12,13,12,13,1,14,0,0,0.060862214708368556
75,1232,5,6,5,4,9,11,1,14,0.060876623376623376
585,9604,15,14,6,7,13,14,1,14,0.06091211995002083
392,6435,14,13,10,11,14,15,1,15,0.06091686091686092
99,1625,9,10,12,13,11,10,1,15,0.06092307692307692
39,640,9,8,13,15,7,8,1,14,0.0609375
1331,21840,11,13,11,8,11,14,1,15,0.06094322344322344
32,525,4,5,8,7,1,15,0,0,0.06095238095238095
169,2772,13,11,7,9,13,14,1,14,0.06096681096681097
242,3969,8,9,11,9,11,14,1,14,0.06097253716301335
165,2704,15,13,11,13,7,8,1,14,0.0610207100591716
96,1573,12,13,10,11,12,11,1,15,0.06102987921169739
50,819,10,9,10,13,1,14,0,0,0.06105006105006105
1053,17248,9,8,13,14,9,11,1,14,0.06105055658627087
1089,17836,11,13,9,7,11,14,1,14,0.061056290648127384
84,1375,14,15,12,11,9,10,1,15,0.06109090909090909
11,180,11,12,1,15,0,0,0,0,0.06111111111111111
104,1701,8,9,10,9,13,15,1,14,0.06114050558495003
672,10985,12,13,12,13,14,13,1,15,0.06117432862994993
35,572,7,8,15,11,10,13,1,15,0.06118881118881119
891,14560,9,8,11,13,9,10,1,14,0.06119505494505494
1859,30375,13,15,11,9,13,15,1,15,0.06120164609053498
200,3267,10,9,10,11,10,11,1,15,0.061218243036424855
3,49,6,7,1,14,0,0,0,0,0.061224489795918366
49,800,14,15,7,8,9,8,1,15,0.06125
91,1485,13,11,7,9,1,15,0,0,0.06127946127946128
968,15795,8,9,11,9,11,13,1,15,0.0612852168407724
429,7000,9,10,13,14,11,10,1,15,0.061285714285714284
675,11011,9,11,15,11,10,13,1,14,0.061302334029606755
